step,total_transactions,fraud_transactions,fraud_rate_percent
85,10,10,100.0
86,11,11,100.0
87,6,6,100.0
88,2,2,100.0
89,4,4,100.0
90,10,10,100.0
91,8,8,100.0
92,8,8,100.0
93,78,13,16.666666666666664
94,181,6,3.314917127071823
95,123,9,7.317073170731707
96,100,2,2.0
97,13,6,46.15384615384615
98,9,9,100.0
99,5,5,100.0
100,5,5,100.0
101,9,9,100.0
102,8,8,100.0
103,5,5,100.0
104,12,12,100.0
105,7,7,100.0
106,11,11,100.0
107,4,4,100.0
108,3,3,100.0
109,7,7,100.0
110,5,5,100.0
111,6,6,100.0
112,2,2,100.0
113,2,2,100.0
114,1,1,100.0
115,7,7,100.0
116,10,10,100.0
117,5,5,100.0
118,10,10,100.0
119,90,3,3.3333333333333335
120,45,9,20.0
121,19,11,57.89473684210527
122,18,10,55.55555555555556
123,6,5,83.33333333333334
124,1,1,100.0
125,7,7,100.0
126,5,5,100.0
127,7,7,100.0
128,6,6,100.0
129,328,4,1.2195121951219512
130,510,5,0.9803921568627451
131,558,12,2.1505376344086025
132,535,8,1.4953271028037385
133,518,4,0.7722007722007722
134,488,7,1.4344262295081966
135,419,6,1.431980906921241
136,465,6,1.2903225806451613
137,493,10,2.028397565922921
138,425,1,0.2352941176470588
139,684,2,0.29239766081871343
140,592,8,1.3513513513513513
141,238,5,2.100840336134454
142,208,4,1.9230769230769231
143,119,13,10.92436974789916
144,56,6,10.714285714285714
145,19,5,26.31578947368421
146,10,5,50.0
147,6,5,83.33333333333334
148,7,7,100.0
149,9,9,100.0
150,9,9,100.0
151,9,9,100.0
152,5,5,100.0
153,290,7,2.413793103448276
154,458,8,1.7467248908296942
155,458,5,1.0917030567685588
156,416,12,2.8846153846153846
157,486,13,2.674897119341564
158,392,3,0.7653061224489796
159,403,6,1.488833746898263
160,396,16,4.040404040404041
161,554,8,1.444043321299639
162,612,4,0.6535947712418301
163,669,6,0.8968609865470852
164,601,11,1.8302828618968388
165,228,3,1.3157894736842104
166,193,5,2.5906735751295336
167,121,3,2.479338842975207
168,61,2,3.278688524590164
169,29,7,24.137931034482758
170,18,10,55.55555555555556
171,9,9,100.0
172,5,5,100.0
173,10,10,100.0
174,3,3,100.0
175,3,3,100.0
176,5,5,100.0
177,260,9,3.4615384615384617
178,439,9,2.050113895216401
179,496,4,0.8064516129032258
180,469,3,0.6396588486140725
181,494,2,0.4048582995951417
182,510,3,0.5882352941176471
183,507,8,1.5779092702169626
184,456,4,0.8771929824561403
185,584,11,1.8835616438356164
186,643,10,1.5552099533437014
187,761,5,0.657030223390276
188,586,5,0.8532423208191127
189,292,5,1.7123287671232876
190,174,4,2.2988505747126435
191,153,6,3.9215686274509802
192,75,7,9.333333333333334
193,34,7,20.588235294117645
194,19,6,31.57894736842105
195,10,7,70.0
196,4,4,100.0
197,4,4,100.0
198,10,10,100.0
199,7,7,100.0
200,6,6,100.0
201,271,5,1.8450184501845017
202,484,1,0.2066115702479339
203,553,6,1.0849909584086799
204,549,6,1.092896174863388
205,547,10,1.8281535648994516
206,433,8,1.8475750577367205
207,448,6,1.3392857142857142
208,449,14,3.11804008908686
209,411,3,0.7299270072992701
210,507,6,1.183431952662722
211,567,7,1.2345679012345678
212,542,24,4.428044280442804
213,202,5,2.4752475247524752
214,157,10,6.369426751592357
215,107,4,3.7383177570093453
216,58,4,6.896551724137931
217,49,10,20.408163265306122
218,8,8,100.0
219,5,5,100.0
220,4,4,100.0
221,6,6,100.0
222,4,4,100.0
223,4,4,100.0
224,6,6,100.0
225,264,9,3.4090909090909087
226,385,6,1.5584415584415585
227,397,7,1.7632241813602016
228,453,6,1.3245033112582782
229,413,7,1.694915254237288
230,396,12,3.0303030303030303
231,403,11,2.729528535980149
232,410,7,1.707317073170732
233,217,5,2.3041474654377883
234,488,8,1.639344262295082
235,757,8,1.0568031704095113
236,550,5,0.9090909090909091
237,251,8,3.187250996015936
238,181,10,5.524861878453039
239,131,7,5.343511450381679
240,70,7,10.0
241,44,7,15.909090909090908
242,9,2,22.22222222222222
243,5,5,100.0
244,8,8,100.0
245,2,2,100.0
246,2,2,100.0
247,4,4,100.0
248,5,5,100.0
249,333,17,5.105105105105105
250,462,14,3.0303030303030303
251,524,7,1.3358778625954197
252,520,1,0.19230769230769232
253,483,6,1.2422360248447204
254,473,4,0.8456659619450317
255,456,6,1.3157894736842104
256,437,7,1.6018306636155606
257,412,4,0.9708737864077669
258,397,5,1.2594458438287155
259,644,8,1.2422360248447204
260,523,8,1.5296367112810707
261,226,13,5.752212389380531
262,195,11,5.641025641025641
263,132,3,2.272727272727273
264,67,3,4.477611940298507
265,29,8,27.586206896551722
266,18,7,38.88888888888889
267,5,5,100.0
268,5,5,100.0
269,8,8,100.0
270,9,9,100.0
271,7,7,100.0
272,5,5,100.0
273,130,11,8.461538461538462
274,297,14,4.713804713804714
275,377,5,1.3262599469496021
276,442,8,1.809954751131222
277,376,8,2.127659574468085
278,375,2,0.5333333333333333
279,400,16,4.0
280,408,2,0.49019607843137253
281,423,7,1.6548463356973995
282,467,15,3.2119914346895073
283,558,6,1.0752688172043012
284,456,5,1.0964912280701753
285,235,10,4.25531914893617
286,176,5,2.840909090909091
287,94,6,6.382978723404255
288,65,6,9.230769230769232
289,27,7,25.925925925925924
290,19,4,21.052631578947366
291,6,6,100.0
292,6,6,100.0
293,4,4,100.0
294,10,10,100.0
295,5,5,100.0
296,13,13,100.0
297,306,4,1.3071895424836601
298,478,3,0.6276150627615062
299,487,4,0.8213552361396305
300,437,6,1.3729977116704806
301,489,3,0.6134969325153374
302,439,8,1.8223234624145785
303,374,7,1.8716577540106951
304,398,1,0.25125628140703515
305,568,10,1.7605633802816902
306,672,4,0.5952380952380952
307,700,9,1.2857142857142856
308,558,2,0.35842293906810035
309,225,8,3.5555555555555554
310,177,5,2.824858757062147
311,176,6,3.4090909090909087
312,54,6,11.11111111111111
313,34,6,17.647058823529413
314,15,4,26.666666666666668
315,10,10,100.0
316,9,9,100.0
317,9,9,100.0
318,2,2,100.0
319,5,5,100.0
320,7,7,100.0
321,265,6,2.2641509433962264
322,401,10,2.493765586034913
323,440,3,0.6818181818181818
324,443,6,1.3544018058690745
325,445,9,2.0224719101123596
326,415,6,1.4457831325301205
327,366,5,1.366120218579235
328,411,11,2.67639902676399
329,494,5,1.0121457489878543
330,528,5,0.946969696969697
331,642,2,0.3115264797507788
332,507,3,0.591715976331361
333,221,4,1.809954751131222
334,187,1,0.53475935828877
335,179,1,0.5586592178770949
336,47,12,25.53191489361702
337,14,7,50.0
338,15,2,13.333333333333334
339,9,9,100.0
340,7,7,100.0
341,8,8,100.0
342,9,9,100.0
343,10,10,100.0
344,4,4,100.0
345,219,4,1.82648401826484
346,378,5,1.3227513227513228
347,426,0,0.0
348,411,5,1.2165450121654502
349,470,13,2.7659574468085104
350,435,7,1.6091954022988506
351,406,14,3.4482758620689653
352,437,8,1.8306636155606408
353,459,8,1.7429193899782136
354,662,9,1.3595166163141994
355,662,5,0.7552870090634441
356,484,3,0.6198347107438017
357,210,11,5.238095238095238
358,170,5,2.941176470588235
359,123,6,4.878048780487805
360,64,5,7.8125
361,43,8,18.6046511627907
362,16,12,75.0
363,9,9,100.0
365,10,10,100.0
366,8,8,100.0
367,10,10,100.0
368,3,3,100.0
369,204,3,1.4705882352941175
370,390,7,1.7948717948717947
371,419,4,0.9546539379474941
372,451,5,1.1086474501108647
373,421,7,1.66270783847981
374,408,8,1.9607843137254901
375,384,2,0.5208333333333333
376,282,3,1.0638297872340425
377,280,5,1.7857142857142856
378,546,2,0.3663003663003663
379,649,10,1.5408320493066257
380,569,8,1.4059753954305798
381,225,3,1.3333333333333335
382,177,5,2.824858757062147
383,124,8,6.451612903225806
384,58,3,5.172413793103448
385,22,6,27.27272727272727
386,14,8,57.14285714285714
387,21,21,100.0
388,13,13,100.0
389,6,6,100.0
390,7,7,100.0
391,9,9,100.0
392,9,9,100.0
393,311,4,1.2861736334405145
394,454,6,1.3215859030837005
395,344,5,1.4534883720930232
396,526,6,1.1406844106463878
397,469,6,1.279317697228145
398,443,12,2.708803611738149
399,478,7,1.4644351464435146
400,458,9,1.9650655021834063
401,515,9,1.7475728155339807
402,631,5,0.7923930269413629
403,725,14,1.9310344827586208
404,552,13,2.355072463768116
405,239,4,1.6736401673640167
406,186,15,8.064516129032258
407,124,4,3.225806451612903
408,125,6,4.8
409,21,15,71.42857142857143
410,13,13,100.0
411,10,10,100.0
412,6,6,100.0
413,14,9,64.28571428571429
414,10,10,100.0
415,13,13,100.0
416,34,5,14.705882352941178
417,5,5,100.0
418,4,4,100.0
419,29,4,13.793103448275861
420,45,6,13.333333333333334
421,9,9,100.0
422,31,6,19.35483870967742
423,14,4,28.57142857142857
424,9,9,100.0
425,13,13,100.0
426,89,2,2.247191011235955
427,9,9,100.0
428,52,4,7.6923076923076925
429,38,2,5.263157894736842
430,4,4,100.0
431,24,4,16.666666666666664
432,2,2,100.0
433,4,4,100.0
434,5,5,100.0
435,3,3,100.0
436,11,9,81.81818181818183
437,11,11,100.0
438,7,7,100.0
439,21,8,38.095238095238095
440,11,11,100.0
441,8,8,100.0
442,21,8,38.095238095238095
443,4,4,100.0
444,15,15,100.0
445,5,5,100.0
446,9,9,100.0
447,9,9,100.0
448,37,2,5.405405405405405
449,25,5,20.0
450,9,9,100.0
451,59,4,6.779661016949152
452,11,6,54.54545454545454
453,7,6,85.71428571428571
454,2,2,100.0
455,18,3,16.666666666666664
456,11,11,100.0
457,6,6,100.0
458,6,3,50.0
459,3,3,100.0
460,9,9,100.0
461,13,12,92.3076923076923
462,7,7,100.0
463,7,7,100.0
464,10,10,100.0
465,7,7,100.0
466,27,5,18.51851851851852
467,5,5,100.0
468,7,7,100.0
469,91,4,4.395604395604396
470,8,8,100.0
471,34,1,2.941176470588235
472,4,4,100.0
473,6,6,100.0
474,37,3,8.108108108108109
475,9,9,100.0
476,66,5,7.575757575757576
477,8,8,100.0
478,32,3,9.375
479,15,3,20.0
480,3,3,100.0
481,6,6,100.0
482,10,10,100.0
483,14,6,42.857142857142854
484,3,3,100.0
485,6,6,100.0
486,6,6,100.0
487,20,6,30.0
488,6,6,100.0
489,7,7,100.0
490,65,4,6.153846153846154
491,9,9,100.0
492,74,4,5.405405405405405
493,36,5,13.88888888888889
494,6,6,100.0
495,51,11,21.568627450980394
496,14,4,28.57142857142857
497,10,10,100.0
498,5,5,100.0
499,9,9,100.0
500,82,3,3.6585365853658534
501,15,15,100.0
502,11,8,72.72727272727273
503,38,8,21.052631578947366
504,6,6,100.0
505,10,4,40.0
506,5,5,100.0
507,8,8,100.0
508,4,4,100.0
509,13,9,69.23076923076923
510,7,7,100.0
511,5,5,100.0
512,8,8,100.0
513,6,6,100.0
514,163,9,5.521472392638037
515,2,2,100.0
516,8,8,100.0
517,30,5,16.666666666666664
518,57,4,7.017543859649122
519,6,6,100.0
520,49,7,14.285714285714285
521,11,11,100.0
522,305,5,1.639344262295082
523,21,21,100.0
524,41,4,9.75609756097561
525,129,1,0.7751937984496124
526,43,6,13.953488372093023
527,45,6,13.333333333333334
528,24,9,37.5
529,3,3,100.0
530,9,5,55.55555555555556
531,13,11,84.61538461538461
532,6,4,66.66666666666666
533,8,8,100.0
534,17,9,52.94117647058824
535,5,5,100.0
536,7,7,100.0
537,11,11,100.0
538,61,4,6.557377049180328
539,3,3,100.0
540,75,2,2.666666666666667
541,6,6,100.0
542,71,7,9.859154929577464
543,3,3,100.0
544,161,4,2.484472049689441
545,62,0,0.0
546,130,6,4.615384615384616
547,39,3,7.6923076923076925
548,85,2,2.3529411764705883
549,19,11,57.89473684210527
550,67,6,8.955223880597014
551,21,12,57.14285714285714
552,20,6,30.0
553,3,3,100.0
554,10,10,100.0
555,6,3,50.0
556,3,3,100.0
557,11,11,100.0
558,10,10,100.0
559,5,5,100.0
560,5,5,100.0
561,8,8,100.0
562,7,7,100.0
563,62,13,20.967741935483872
564,56,8,14.285714285714285
565,111,9,8.108108108108109
566,31,5,16.129032258064516
567,66,4,6.0606060606060606
568,8,8,100.0
569,21,7,33.33333333333333
570,38,7,18.421052631578945
571,79,7,8.860759493670885
572,13,13,100.0
573,59,4,6.779661016949152
574,40,3,7.5
575,6,6,100.0
576,26,10,38.46153846153847
577,11,6,54.54545454545454
578,15,8,53.333333333333336
579,8,8,100.0
580,11,9,81.81818181818183
581,5,5,100.0
582,17,10,58.82352941176471
583,11,11,100.0
584,13,5,38.46153846153847
585,36,5,13.88888888888889
586,19,7,36.84210526315789
587,40,4,10.0
588,83,6,7.228915662650602
589,104,1,0.9615384615384616
590,110,7,6.363636363636363
591,6,6,100.0
592,102,6,5.88235294117647
593,2,2,100.0
594,115,8,6.956521739130435
595,83,5,6.024096385542169
596,143,5,3.4965034965034967
597,49,5,10.204081632653061
598,19,1,5.263157894736842
599,41,4,9.75609756097561
600,16,16,100.0
601,16,3,18.75
602,2,2,100.0
603,9,9,100.0
604,5,5,100.0
605,11,11,100.0
606,8,8,100.0
607,6,6,100.0
608,23,8,34.78260869565217
609,4,4,100.0
610,28,7,25.0
611,8,8,100.0
612,48,9,18.75
613,15,14,93.33333333333333
614,23,9,39.130434782608695
615,4,4,100.0
616,5,5,100.0
617,50,6,12.0
618,6,6,100.0
619,49,6,12.244897959183673
620,3,3,100.0
621,29,15,51.724137931034484
622,3,3,100.0
623,4,4,100.0
624,6,6,100.0
625,15,15,100.0
626,3,3,100.0
627,4,4,100.0
628,3,3,100.0
629,12,12,100.0
630,2,2,100.0
631,9,9,100.0
632,4,4,100.0
633,4,4,100.0
634,7,7,100.0
635,10,10,100.0
636,9,9,100.0
637,64,9,14.0625
638,9,9,100.0
639,10,10,100.0
640,23,7,30.434782608695656
641,5,5,100.0
642,23,5,21.73913043478261
643,9,9,100.0
644,38,7,18.421052631578945
645,8,8,100.0
646,9,9,100.0
647,5,5,100.0
648,8,8,100.0
649,18,8,44.44444444444444
650,9,9,100.0
651,6,6,100.0
652,9,9,100.0
653,4,4,100.0
654,4,4,100.0
655,2,2,100.0
656,53,12,22.641509433962266
657,6,6,100.0
658,9,9,100.0
659,38,4,10.526315789473683
660,7,7,100.0
661,85,5,5.88235294117647
662,2,2,100.0
663,9,9,100.0
664,26,15,57.692307692307686
665,5,5,100.0
666,4,4,100.0
667,25,3,12.0
668,4,4,100.0
669,11,5,45.45454545454545
670,34,7,20.588235294117645
671,5,5,100.0
672,3,2,66.66666666666666
673,15,7,46.666666666666664
674,9,9,100.0
675,4,4,100.0
676,6,6,100.0
677,5,5,100.0
678,4,4,100.0
679,3,3,100.0
680,16,16,100.0
681,88,2,2.272727272727273
682,4,4,100.0
683,40,4,10.0
684,70,2,2.857142857142857
685,5,5,100.0
686,79,11,13.924050632911392
687,137,4,2.9197080291970803
688,120,3,2.5
689,10,10,100.0
690,65,6,9.230769230769232
691,63,8,12.698412698412698
692,114,11,9.649122807017543
693,2,2,100.0
694,56,16,28.57142857142857
695,41,7,17.073170731707318
696,3,3,100.0
697,7,7,100.0
698,11,11,100.0
699,10,10,100.0
700,3,3,100.0
701,13,13,100.0
702,11,11,100.0
703,6,6,100.0
704,7,7,100.0
705,46,9,19.565217391304348
706,2,2,100.0
707,13,6,46.15384615384615
708,2,2,100.0
709,47,5,10.638297872340425
710,33,10,30.303030303030305
711,5,5,100.0
712,9,9,100.0
713,1,1,100.0
714,19,8,42.10526315789473
715,34,7,20.588235294117645
716,5,3,60.0
717,19,9,47.368421052631575
718,21,8,38.095238095238095
719,9,9,100.0
720,5,5,100.0
721,3,3,100.0
722,3,3,100.0
723,9,9,100.0
724,9,9,100.0
725,3,3,100.0
726,13,13,100.0
727,9,9,100.0
728,6,6,100.0
729,4,4,100.0
730,20,20,100.0
731,8,8,100.0
732,10,10,100.0
733,5,5,100.0
734,4,4,100.0
735,8,8,100.0
736,7,7,100.0
737,5,5,100.0
738,3,3,100.0
739,5,5,100.0
740,3,3,100.0
741,17,17,100.0
742,5,5,100.0
743,6,6,100.0
